City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Country,Current Description
68,High Level,58.5169,-117.136,59.11,77,75,8.05,CA,broken clouds
69,Nishihara,26.1842,127.7558,87.08,84,75,5.75,JP,broken clouds
70,Ribeira Grande,38.5167,-28.7,69.71,94,100,12.39,PT,overcast clouds
71,Kolpashevo,58.3131,82.9089,58.01,67,100,3.76,RU,overcast clouds
72,Ancud,-41.8697,-73.8203,41.23,88,100,11.54,CL,light rain
73,Puerto Ayora,-0.7393,-90.3518,68.56,96,46,7.0,EC,light rain
74,Lucapa,-8.4192,20.7447,61.7,40,0,4.52,AO,clear sky
75,Lagoa,39.05,-27.9833,68.31,94,99,12.57,PT,overcast clouds
76,Tezu,27.9167,96.1667,89.42,62,83,1.77,IN,broken clouds
77,Lorengau,-2.0226,147.2712,85.59,67,61,7.43,PG,broken clouds
78,Tuktoyaktuk,69.4541,-133.0374,41.0,87,100,19.57,CA,overcast clouds
79,Bethel,41.3712,-73.414,78.67,74,91,1.19,US,overcast clouds
80,Kodiak,57.79,-152.4072,58.51,77,100,8.05,US,overcast clouds
81,Lakatoro,-16.0999,167.4164,82.56,69,20,8.55,VU,few clouds
82,Taveta,-3.3963,37.6736,66.2,75,66,6.69,KE,broken clouds
83,Cuiluan,47.72,128.648,67.82,94,100,5.86,CN,overcast clouds
84,Cabo San Lucas,22.8909,-109.9124,89.62,69,1,12.24,MX,clear sky
85,Kruisfontein,-34.0033,24.7314,49.89,53,39,9.69,ZA,scattered clouds
86,Lompoc,34.6391,-120.4579,76.01,76,0,13.8,US,clear sky
87,Hilo,19.7297,-155.09,83.28,91,100,11.5,US,moderate rain
88,Sesheke,-17.4759,24.2968,52.7,63,0,4.65,ZM,clear sky
89,Mahebourg,-20.4081,57.7,68.29,83,75,12.66,MU,light intensity shower rain
90,Kapaa,22.0752,-159.319,80.47,78,71,5.99,US,broken clouds
91,Luwuk,-0.9516,122.7875,79.65,91,99,6.33,ID,overcast clouds
92,Oktyabrskoye,43.0645,44.7417,66.47,69,78,3.49,RU,broken clouds
93,Sao Filipe,14.8961,-24.4956,73.69,81,30,11.07,CV,scattered clouds
94,Vallenar,-28.5708,-70.7581,53.13,74,100,8.41,CL,overcast clouds
95,Atuona,-9.8,-139.0333,77.74,74,26,19.04,PF,scattered clouds
96,Sola,-13.8833,167.55,80.96,65,69,8.28,VU,broken clouds
97,Lakhipur,26.0299,90.3041,83.79,82,97,2.04,IN,overcast clouds
98,Kirakira,-10.4544,161.9205,84.52,56,8,3.62,SB,clear sky
99,Pochutla,15.7432,-96.4661,75.76,90,83,0.89,MX,broken clouds
100,Mozarlandia,-14.7447,-50.5706,73.56,34,90,2.75,BR,overcast clouds
101,Albany,42.6001,-73.9662,68.92,81,100,2.93,US,light rain
102,Cherskiy,68.75,161.3,54.9,48,32,19.66,RU,scattered clouds
103,Belyy Yar,53.6039,91.3903,60.69,63,0,4.47,RU,clear sky
104,Borujerd,33.8973,48.7516,66.43,26,0,3.0,IR,clear sky
105,Yantzaza,-3.8278,-78.7594,65.16,99,98,1.12,EC,light rain
106,San Quintin,30.4833,-115.95,66.54,81,30,12.08,MX,scattered clouds
107,Tibiao,11.2915,122.0354,83.89,75,100,5.17,PH,overcast clouds
108,Mutata,7.2441,-76.4356,74.64,98,100,1.36,CO,moderate rain
109,Ayia Marina,37.75,23.5333,74.75,53,0,18.14,GR,clear sky
110,Tura,25.5198,90.2201,81.73,82,49,2.53,IN,scattered clouds
111,Auki,-8.7676,160.7034,85.78,53,6,3.91,SB,clear sky
112,Bonnyville,54.2668,-110.735,71.4,80,74,12.48,CA,broken clouds
113,Sorland,67.667,12.6934,51.66,86,100,8.41,NO,light rain
114,Matara,5.9485,80.5353,79.48,82,19,13.49,LK,few clouds
115,Padang,-0.9492,100.3543,82.45,71,68,1.63,ID,broken clouds
116,Nagua,19.3832,-69.8474,77.27,89,100,5.91,DO,overcast clouds
117,Tambopata,-12.7333,-69.1833,71.38,88,83,2.39,PE,broken clouds
118,Makarov,48.6333,142.8,59.41,86,100,5.91,RU,overcast clouds
119,Ilebo,-4.3167,20.5833,68.94,44,18,1.66,CD,few clouds
120,Necocli,8.4234,-76.786,76.08,91,95,2.26,CO,overcast clouds
